month_year,lpg_production_avg_daily_millionsbarrels,lpg_internal_consumption_millionsbarrels,Diferencia Ingreso y Costo (miles de USD),Volumen Importado (miles de barriles),Precio Importación (USD por barril),Costo  Importación (miles de USD),Precio Venta Interna (USD por barril),Ingreso Venta Interna (miles de USD)
Jan-07,173.096,898.8,-31302.03048,745.8194278,52.0268532,38802.63788,10.05686781,7500.607398
Feb-07,66.987,785.358747,-30223.55918,680.1317998,54.60366757,37137.6907,10.16587009,6914.131523
Mar-07,45.703,910.358739,-42354.92468,886.7150637,57.98327044,51414.63934,10.21716561,9059.714657
Apr-07,41.439,862.47534,-41128.48363,816.0821505,60.94106349,49732.91415,10.54358378,8604.430523
May-07,42.848,966.125,-47703.86369,907.7025503,63.11185985,57286.79614,10.55734883,9582.932454
Jun-07,67.819,890.985,-43717.18994,844.2986719,62.20356565,52518.38786,10.42427071,8801.197916
Jul-07,196.462,1023.31084,-45593.78533,841.6079879,64.69761299,54450.02789,10.52300203,8856.242561
Aug-07,192.269,952.263008,-39177.37524,733.3065006,64.48569365,47287.77835,11.06004529,8110.40311
Sep-07,165.138,934.790163,-46942.47357,792.2557686,70.17155976,55593.82301,10.91989454,8651.349441
Oct-07,128.838,977.350596,-54099.43183,822.161936,77.03743368,63337.24562,11.23600277,9237.813789
Nov-07,126.191,941.587997,-54110.70931,814.5341917,77.92647047,63473.77464,11.49499361,9363.065325
Dec-07,154.407,949.949656,-54286.16404,815.1330716,77.87893723,63481.69732,11.28102098,9195.533283
Jan-08,153.975,950.272256,-51472.97831,801.7996699,75.63147166,60641.28901,11.4346651,9168.310701
Feb-08,132.385,845.235961,-43216.2129,711.2829795,72.7836372,51769.76232,12.02552242,8553.549418
Mar-08,160.744,929.659364,-48990.05023,773.1901358,75.49191738,58369.60585,12.13098199,9379.555616
Apr-08,153.805,934.942965,-53324.68536,772.7976007,80.91628551,62531.9113,11.91414923,9207.225936
May-08,171.35,967.620924,-59324.31004,796.8398339,86.65010239,69046.25319,12.20062394,9721.94315
Jun-08,187.126,917.156852,-60084.81955,742.929587,92.48356668,68708.778,11.60804281,8623.958454
Jul-08,108.862,963.20117,-65113.32152,823.9465995,91.63020024,75498.3919,12.60405757,10385.07038
Aug-08,219.988,1011.294,-55954.78112,820.091999,80.67782887,66163.24195,12.44794589,10208.46083
Sep-08,203.667,961.460904,-45398.86947,735.183968,74.3355217,54650.28381,12.5838086,9251.414341
Oct-08,174.243,1006.66109,-30589.52713,797.1075159,49.96787837,39829.7714,11.59221823,9240.244273
Nov-08,195.41,934.88334,-21004.06839,765.9827934,38.40058293,29414.18578,10.97951216,8410.117394
Dec-08,211.597,966.767,-21532.69663,745.2738,39.37553648,29345.5557,10.4832064,7812.859069
Jan-09,202.54,944.373717,-22074.54504,724.7214758,40.81713397,29581.05357,10.35778403,7506.508526
